Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,72hours.com,readywise.com,mypatriotsupply.com,redcross.org,72hours.com (pages),readywise.com (pages),mypatriotsupply.com (pages),redcross.org (pages),Results
emergency food,Commercial,6600,67,1.95,1.00,0,6,4,8,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/content/dam/redcross/atg/PDF_s/Preparedness___Disaster_Recovery/Disaster_Preparedness/Food_Safety/Food_and_Water-English.revised_7-09.pdf,0
emergency essentials,Navigational,3600,71,4.10,1.00,0,19,13,6,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
emergency food supplies,Informational,2900,75,1.84,1.00,0,1,4,12,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
food emergency food,Commercial,1600,69,1.55,1.00,0,1,5,18,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/content/dam/redcross/atg/PDF_s/Preparedness___Disaster_Recovery/Disaster_Preparedness/Food_Safety/Food_and_Water-English.revised_7-09.pdf,0
emergency supplies food,Informational,720,72,1.84,1.00,0,7,9,19,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
emergency food kit,Commercial,590,42,1.29,1.00,0,5,4,19,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
emergency survival bag,"Informational, Transactional",590,51,0.80,1.00,0,2,13,6,,https://readywise.com/collections/survival-backpacks,https://www.mypatriotsupply.com/collections/survival-gear,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
food supply for emergency,Commercial,590,73,1.84,1.00,0,6,3,11,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
food survival kits,"Informational, Transactional",590,53,1.47,1.00,0,5,4,10,,https://readywise.com/,https://www.mypatriotsupply.com/collections/emergency-survival-food,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
supply emergency,Commercial,590,79,0.93,1.00,0,17,11,2,,https://readywise.com/collections/readywise-emergency,https://www.mypatriotsupply.com/,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/survival-kit-supplies.html,0
