Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
72 hours,1,1,12100,46,0.00,https://72hours.com/,735,36.49,0.00,0,1730000000,"[36,44,100,66,66,29,44,36,81,66,54,44]",2025-10-05,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
72hours,1,1,590,42,1.08,https://72hours.com/,146,7.24,157.00,0,49400000,"[20,10,79,16,41,41,54,10,5,13,10,20]",2025-09-03,"Image pack, Sitelinks, Video, Image, Related searches",navigational,Organic
crank flashlight,2,2,1000,32,0.30,https://72hours.com/products/led-flashlight-dynamo-hand-crank,82,4.07,24.00,1,2460000,"[62,62,100,81,55,81,55,55,55,62,45,55]",2025-09-29,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
wind up flashlight,2,2,590,23,0.30,https://72hours.com/products/led-flashlight-dynamo-hand-crank,77,3.82,23.00,1,17300000,"[30,55,45,67,45,55,45,24,36,55,45,30]",2025-09-05,"Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
kit 72 hours,3,3,880,47,0.80,https://72hours.com/,72,3.57,57.00,1,156000000,"[45,67,100,76,45,100,55,67,67,45,76,10]",2025-10-01,"Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Explore brands",commercial,Organic
72 hours emergency supplies,2,2,880,48,0.82,https://72hours.com/,72,3.57,59.00,0.71,49700000,"[45,62,62,36,30,55,36,81,100,55,100,0]",2025-09-22,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Popular products, Related searches, Explore brands, Ads middle, AI overview",commercial,Organic
72 hour kits,2,2,390,35,0.89,https://72hours.com/collections/emergency-kit,51,2.53,45.00,1,65200000,"[36,16,45,55,24,16,76,24,24,24,13,30]",2025-08-28,"Image pack, Sitelinks, Video, Popular products, Related searches",commercial,Organic
72 hrs emergency kit,2,2,260,38,0.79,https://72hours.com/,34,1.68,26.00,0.79,37400000,"[66,100,29,29,23,36,36,29,44,0,2,2]",2025-10-07,"Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Popular products, Related searches, Ads middle",commercial,Organic
72 hours survival kit,2,2,260,29,0.79,https://72hours.com/,34,1.68,26.00,0.79,35400000,"[5,5,2,3,5,36,100,67,3,7,12,100]",2025-10-07,"Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Popular products, Related searches, Ads middle",commercial,Organic
flashlight wind up,2,2,260,22,0.30,https://72hours.com/products/led-flashlight-dynamo-hand-crank,34,1.68,10.00,1,14900000,"[54,81,44,100,44,66,28,35,18,35,44,28]",2025-08-26,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
seventy two hour kits,3,3,320,27,0.89,https://72hours.com/collections/emergency-kit,26,1.29,23.00,1,13600000,"[17,14,17,17,11,21,17,9,4,59,59,100]",2025-08-19,"Image pack, Video, Image, Ads bottom, Popular products, Related searches, Explore brands",commercial,Organic
72 hrs,1,1,590,47,0.94,https://72hours.com/,25,1.24,23.00,0,335000000,"[11,55,5,11,44,16,8,11,8,13,24,20]",2025-10-02,"Sitelinks, Video, Image, People also ask, Twitter carousel, Related searches, AI overview",informational,Organic
72 hour survival kits,3,3,260,30,0.79,https://72hours.com/,21,1.04,16.00,0.79,41300000,"[54,23,12,23,19,19,54,100,66,36,29,6]",2025-10-07,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
hand crank flashlight,3,3,1600,30,0.35,https://72hours.com/products/led-flashlight-dynamo-hand-crank,20,0.99,7.00,1,1910000,"[79,79,100,100,79,66,54,54,41,66,41,54]",2025-09-21,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
