Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
72 hours,1,1,12100,50,0.94,https://72hours.com/collections/emergency-supplies,83,16.5,78.00,0,0,"[36,36,44,100,66,66,29,44,36,81,66,54]",2025-09-29,"Sitelinks, Reviews, Video, AMP, Image, Featured images, Video Carousel, People also ask, Related searches, People also search, AI overview",informational,AI overview
72 hour,2,2,720,32,1.08,https://72hours.com/,59,11.72,63.00,0,0,"[16,8,16,10,19,12,12,4,3,0,3,5]",2025-09-06,"Knowledge panel, Sitelinks, Reviews, Image, AI overview",informational,Organic
72 hours emergency supplies,2,2,1000,42,0.81,https://72hours.com/,30,5.96,24.00,1,0,"[45,45,62,62,36,30,55,36,81,100,55,100]",2025-09-03,"Knowledge panel, Sitelinks, Reviews, Image, Video Carousel, People also ask, Popular products",commercial,Organic
blue toothbrush,1,1,210,22,0.00,https://72hours.com/products/toothbrush-blue-5-0-13-cm,27,5.36,0.00,0.95,0,"[81,65,53,81,43,53,53,53,65,81,65,65]",2025-09-11,"Reviews, Image, Featured images, People also ask, Popular products, Related searches","informational, transactional",Featured images
72 hrs,1,1,590,40,1.08,https://72hours.com/,25,4.97,27.00,0,0,"[24,11,55,5,11,44,16,8,11,8,13,24]",2025-08-18,"Sitelinks, Reviews, AMP, Image, Featured images, Video Carousel, People also ask, Twitter carousel, Related searches",informational,Organic
72 hour survival kit,2,2,720,30,0.81,https://72hours.com/collections/emergency-kit,25,4.97,20.00,1,0,"[55,45,67,55,36,24,55,16,55,76,67,100]",2025-08-24,"Sitelinks, Image, Video Carousel, People also ask, Popular products, Discussions and forums",informational,Organic
clipboard with cover,1,1,170,5,2.11,https://72hours.com/products/clipboard-with-cover,22,4.37,46.00,1,0,"[65,65,65,34,43,34,53,43,53,53,34,34]",2025-08-29,"Sitelinks, Reviews, AMP, Image, Featured images, People also ask, Popular products, Discussions and forums","commercial, informational",Featured images
72 hour kit,4,4,880,44,0.89,https://72hours.com/collections/emergency-kit,21,4.17,18.00,1,0,"[16,20,24,44,27,16,27,24,24,24,20,27]",2025-08-29,"Sitelinks, Reviews, Image, People also ask, Popular products, Things to know, Discussions and forums",commercial,Organic
72 hour emergency kit,4,4,880,50,0.81,https://72hours.com/collections/emergency-kit,21,4.17,17.00,1,0,"[45,55,76,76,45,30,55,30,76,76,55,100]",2025-08-29,"Sitelinks, Image, People also ask, Discussions and forums",commercial,Organic
fire blankets for sale,3,3,720,25,1.28,https://72hours.com/collections/fire-blanket,17,3.37,21.00,1,0,"[4,5,10,3,100,52,16,10,8,8,8,4]",2025-09-05,"Sitelinks, Reviews, Image, People also ask, Popular products, Discussions and forums",transactional,Organic
72 hr,2,2,210,35,1.08,https://72hours.com/,17,3.37,18.00,0,0,"[14,21,17,17,48,32,5,39,32,21,14,14]",2025-08-21,"Sitelinks, Reviews, Video, Image, Featured images, Video Carousel, Related searches, AI overview",informational,Organic
72hours,1,1,590,55,1.08,https://72hours.com/,15,2.98,16.00,0,0,"[20,10,79,16,41,41,54,10,5,13,10,20]",2025-08-16,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",navigational,Organic
72 hour,10,10,720,32,1.08,https://72hours.com/collections/emergency-kit,13,2.58,14.00,0,0,"[16,8,16,10,19,12,12,4,3,0,3,5]",2025-09-06,"Knowledge panel, Sitelinks, Reviews, Image, AI overview",informational,Organic
crankable flashlight,2,2,390,28,0.32,https://72hours.com/products/led-flashlight-dynamo-hand-crank,13,2.58,4.00,1,0,"[0,100,54,100,36,100,0,12,7,67,19,67]",2025-08-20,"Reviews, Image, Featured images, People also ask, Popular products",commercial,Organic
72 hour kits,1,1,390,47,0.89,https://72hours.com/collections/emergency-kit,13,2.58,11.00,1,0,"[36,16,45,55,24,16,76,24,24,24,13,30]",2025-08-19,"Sitelinks, Image, People also ask, Popular products",commercial,Organic
72 hours,1,1,12100,50,0.94,https://72hours.com/collections/real-meal-emergency-survival-kit,12,2.38,11.00,0,0,"[36,36,44,100,66,66,29,44,36,81,66,54]",2025-09-29,"Sitelinks, Reviews, Video, AMP, Image, Featured images, Video Carousel, People also ask, Related searches, People also search, AI overview",informational,AI overview
72 hour emergency packs,5,5,480,51,0.81,https://72hours.com/collections/emergency-kit,11,2.18,8.00,1,0,"[0,0,0,0,0,0,0,0,81,100,55,100]",2025-08-16,"Sitelinks, Reviews, Image, People also ask, Popular products",commercial,Organic
affirm discount code,1,1,320,20,0.00,https://72hours.com/pages/affirm,10,1.98,0.00,0.01,0,"[10,10,13,10,100,30,6,8,8,10,13,8]",2025-08-28,"Sitelinks, People also ask, Related searches, People also search, AI overview",transactional,People also ask
affirm coupon code,1,1,260,20,0.00,https://72hours.com/pages/affirm,10,1.98,0.00,0.01,0,"[15,12,23,23,100,81,15,12,15,19,15,19]",2025-08-26,"Sitelinks, People also ask, Related searches, People also search, AI overview",transactional,People also ask
auto survival kit,4,4,320,44,0.55,https://72hours.com/collections/car-emergency-kit,7,1.39,3.00,1,0,"[24,24,20,36,55,36,24,10,16,13,8,10]",2025-08-25,"Sitelinks, Reviews, Image, Video Carousel, People also ask, Popular products",commercial,Organic
72 hour survival kits,2,2,260,30,0.81,https://72hours.com/collections/deluxe-emergency-survival-kit,7,1.39,5.00,1,0,"[29,12,54,23,12,23,19,19,54,100,66,36]",2025-08-25,"Sitelinks, Image, Video Carousel, People also ask, Popular products, Discussions and forums",commercial,Organic
mechanical flashlight,4,4,210,21,0.54,https://72hours.com/products/led-flashlight-dynamo-hand-crank,5,0.99,2.00,1,0,"[29,35,43,54,54,35,43,35,43,29,100,43]",2025-09-06,"Knowledge panel, Sitelinks, Reviews, Image, Video Carousel, People also ask, Popular products",informational,Organic
fire blanket cost,3,3,210,26,0.66,https://72hours.com/collections/fire-blanket,5,0.99,3.00,1,0,"[29,36,29,36,66,54,15,19,19,15,15,12]",2025-08-25,"Sitelinks, Reviews, Video, Image, People also ask, Popular products","informational, transactional",Organic
wind up flashlight,4,4,590,34,0.30,https://72hours.com/products/led-flashlight-dynamo-hand-crank,5,0.99,1.00,1,0,"[30,55,45,67,45,55,45,24,36,55,45,30]",2025-08-21,"Knowledge panel, Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Popular products, Discussions and forums","informational, transactional",Organic
backpack emergency kit,6,6,260,31,0.66,https://72hours.com/collections/deluxe-emergency-survival-kit,4,0.79,2.00,1,0,"[20,16,24,24,16,55,36,10,10,13,20,16]",2025-08-28,"Sitelinks, Reviews, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums","informational, transactional",Organic
auto emergency kit,9,9,2400,39,0.49,https://72hours.com/collections/car-emergency-kit,3,0.59,1.00,1,0,"[12,35,44,44,100,44,54,23,7,8,10,12]",2025-09-12,"Sitelinks, Reviews, AMP, Image, Featured images, People also ask, Popular products, Discussions and forums",commercial,Organic
emergency tent,4,4,480,20,0.36,https://72hours.com/products/tube-tent,3,0.59,1.00,1,0,"[39,32,48,59,48,48,59,48,39,32,32,32]",2025-09-09,"Reviews, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums","informational, transactional",Featured images
ready wise,12,12,1000,48,1.86,https://72hours.com/collections/readywise-food-storage,3,0.59,5.00,1,0,"[82,34,44,55,24,20,24,30,30,34,34,55]",2025-08-26,"Knowledge panel, Sitelinks, Image, Featured images, Video Carousel, People also ask",informational,Organic
72hr,1,1,260,37,0.00,https://72hours.com/collections/emergency-kit,3,0.59,0.00,0,0,"[44,35,44,44,18,28,35,35,81,66,66,66]",2025-08-25,"Reviews, Video, Image, People also ask",informational,People also ask
hand crank flashlight,7,7,1600,31,0.33,https://72hours.com/products/led-flashlight-dynamo-hand-crank,2,0.39,0.00,0.86,0,"[79,100,100,79,66,54,54,41,66,41,54,66]",2025-10-06,"Sitelinks, Reviews, Video, Image, Featured images, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums","commercial, informational",Organic
camping toilet lid,3,3,210,8,0.41,https://72hours.com/products/snap-on-toilet-lid,2,0.39,0.00,1,0,"[100,23,0,44,29,29,4,36,15,12,29,66]",2025-08-29,"Reviews, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums","commercial, informational",Organic
emergency backpacks,8,8,320,27,0.75,https://72hours.com/collections/deluxe-emergency-survival-kit,2,0.39,1.00,1,0,"[13,8,10,10,13,8,67,45,30,30,36,36]",2025-08-19,"Sitelinks, Reviews, Image, Video Carousel, People also ask, Popular products, Discussions and forums, AI overview","informational, transactional",Organic
72hours,1,1,590,55,1.08,https://72hours.com/collections/food,1,0.19,1.00,0,0,"[20,10,79,16,41,41,54,10,5,13,10,20]",2025-08-16,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",navigational,AI overview
72hours,1,1,590,55,1.08,https://72hours.com/collections/emergency-supplies,1,0.19,1.00,0,0,"[20,10,79,16,41,41,54,10,5,13,10,20]",2025-08-16,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",navigational,AI overview
automotive survival kit,9,9,320,41,0.55,https://72hours.com/collections/car-emergency-kit,1,0.19,0.00,1,0,"[19,44,44,54,100,29,29,23,19,19,15,15]",2025-08-17,"Sitelinks, Reviews, AMP, Image, Video Carousel, People also ask, Popular products, Discussions and forums",commercial,Organic
emergency car,7,7,260,51,1.96,https://72hours.com/collections/car-emergency-kit,1,0.19,1.00,0.16,0,"[14,81,54,18,66,54,66,54,66,54,66,54]",2025-08-31,"Local pack, AMP, Image, People also ask, Related searches, Things to know",commercial,Organic
home emergency survival kit,6,6,1600,71,0.45,https://72hours.com/collections/deluxe-emergency-survival-kit,1,0.19,0.00,1,0,"[2,13,2,7,2,3,100,66,44,81,0,16]",2025-10-05,"Sitelinks, Image, Video Carousel, People also ask, Popular products, Related searches, Explore brands",commercial,Explore brands
home emergency survival kit,18,18,1600,71,0.45,https://72hours.com/collections/deluxe-emergency-survival-kit,1,0.19,0.00,1,0,"[2,13,2,7,2,3,100,66,44,81,0,16]",2025-10-05,"Sitelinks, Image, Video Carousel, People also ask, Popular products, Related searches, Explore brands",commercial,Organic
oil siphon pump,12,12,720,27,0.42,https://72hours.com/products/oil-siphon-pump,1,0.19,0.00,1,0,"[100,88,100,100,72,72,72,48,72,59,88,59]",2025-08-19,"Sitelinks, Reviews, Video, Image, Shopping ads, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums",transactional,Organic
kit 72 hours,3,3,880,43,0.89,https://72hours.com/collections/deluxe-emergency-survival-kit,1,0.19,0.00,1,0,"[45,45,67,100,76,45,100,55,67,67,45,76]",2025-09-09,"Sitelinks, Reviews, Image, Featured images, People also ask, Popular products, Discussions and forums",commercial,Organic
emergency bag for school,10,10,210,23,0.00,https://72hours.com/collections/school-survival-kits,0,0,0.00,0,0,"[30,100,20,3,6,0,8,6,3,0,3,3]",2025-09-08,"Sitelinks, Reviews, Video, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums",informational,Organic
automobile survival kit,11,11,260,39,0.55,https://72hours.com/collections/car-emergency-kit,0,0,0.00,1,0,"[16,20,20,25,25,13,5,3,8,5,5,5]",2025-08-18,"Sitelinks, Reviews, Image, People also ask, Popular products, Discussions and forums","commercial, informational",Organic
fireblankets,16,16,260,41,1.33,https://72hours.com/collections/fire-blanket,0,0,0.00,1,0,"[5,1,5,5,16,16,13,4,11,4,5,5]",2025-08-24,"Sitelinks, Reviews, Video, Image, Featured images, People also ask, Popular products, Things to know, Discussions and forums","commercial, informational",Organic
carabiner camping mugs,10,10,170,7,0.00,https://72hours.com/products/stainless-steel-mug-gift,0,0,0.00,0,0,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-08-22,"Sitelinks, Reviews, Image, Featured images, People also ask, Popular products","informational, transactional",Organic
72 hour bag,8,8,320,29,0.94,https://72hours.com/collections/deluxe-emergency-survival-kit,0,0,0.00,1,0,"[44,36,54,66,36,36,54,44,54,44,36,54]",2025-09-11,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products",commercial,Organic
lifestraw family,14,14,170,28,0.78,https://72hours.com/products/lifestraw-family-1-0,0,0,0.00,1,0,"[18,29,43,66,29,29,29,43,54,54,29,43]",2025-09-09,"Knowledge panel, Sitelinks, Image, Video Carousel, People also ask, Popular products","informational, transactional",Organic
72 hrs emergency kit,4,4,320,42,0.81,https://72hours.com/,0,0,0.00,1,0,"[54,66,66,100,29,29,23,36,36,29,44,0]",2025-08-31,"Sitelinks, Reviews, Image, Video Carousel, People also ask, Popular products",informational,Organic
mre food packs,17,17,590,31,0.52,https://72hours.com/collections/mres,0,0,0.00,1,0,"[100,66,81,100,66,54,66,54,54,66,81,81]",2025-09-03,"Sitelinks, Reviews, Video, Image, People also ask, Popular products, Discussions and forums","commercial, informational",Organic
gas stove for camping,13,13,480,36,0.27,https://72hours.com/products/piezo-ignition-compact-camping-stove,0,0,0.00,1,0,"[16,24,13,30,13,24,54,8,8,24,0,8]",2025-08-15,"Reviews, Image, Featured images, Video Carousel, People also ask, Popular products",commercial,Featured images
emergency fire blankets,16,16,390,19,1.23,https://72hours.com/collections/fire-blanket,0,0,0.00,1,0,"[16,81,16,30,55,36,8,13,16,13,8,20]",2025-08-23,"Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Popular products, Discussions and forums","commercial, informational",Organic
portable toilet cover,5,5,170,19,0.99,https://72hours.com/products/snap-on-toilet-lid,0,0,0.00,0.69,0,"[80,80,80,53,53,53,80,53,65,65,80,100]",2025-09-07,"Sitelinks, Reviews, Image, Featured images, People also ask, Popular products, Discussions and forums","informational, transactional",Organic
72 hours survival kit,2,2,170,34,0.81,https://72hours.com/collections/emergency-kit,0,0,0.00,1,0,"[4,4,5,5,2,3,5,36,100,67,3,7]",2025-08-24,"Sitelinks, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums",informational,Organic
